"STATION","NAME","DATE","DX32","DX90","TAVG","TMAX","TMIN"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1977","76","12","45.3","54.0","36.6"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1978","87","8","42.7","52.1","33.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1979","58","6","45.4","54.0","36.8"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1980","81","4","44.2","53.4","35.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1981","68","3","45.9","54.4","37.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1982","69","2","45.2","55.0","35.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1983","47","9","45.8","54.8","36.8"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1984","61","3","45.6","54.7","36.4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1985","82","0","44.5","53.6","35.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1986","63","1","44.9","54.3","35.5"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1987","61","11","45.5","55.3","35.7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1988","62","20","45.4","55.1","35.8"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1989","73","7","44.6","54.3","34.8"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1990","36","4","47.5","56.9","38.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1991","48","10","47.0","56.9","37.1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1992","51","5","44.3","53.9","34.6"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1993","66","7","44.6","54.4","34.8"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1994","60","8","45.0","54.8","35.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1995","69","18","46.8","56.4","37.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1996","65","0","45.2","53.9","36.6"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1997","68","3","44.4","53.8","34.9"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1998","39","0","48.3","57.3","39.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","1999","59","18","47.8","57.5","38.1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2000","65","0","44.9","53.8","36.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2001","62","11","47.2","56.8","37.6"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2002","49","17","47.0","56.1","37.9"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2003","78","6","44.8","54.4","35.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2004","66","0","44.5","53.8","35.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2005","69","5","46.4","55.7","37.1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2006","44","6","48.1","56.8","39.4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2007","72","10","45.6","55.0","36.1"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2008","60","3","46.3","55.5","37.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2009","63","2","45.6","54.8","36.4"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2010","60","11","48.0","56.7","39.2"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2011","53","7","47.6","56.4","38.7"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2012","32","13","49.9","59.3","40.5"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2013","56","9","47.1","56.2","38.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2014","67","3","46.4","55.3","37.5"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2015","66","9","47.1","57.0","37.3"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2016","37","12","49.3","58.5","40.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2017","49","8","48.8","57.5","40.0"
"USW00014742","BURLINGTON INTERNATIONAL AIRPORT","2018","55","17","48.1","56.9","39.3"
